300
[[20, 52, 37, 48, 110, 24, 83, 4, 29, 62, 43, 44, 20, 52, 37, 48, 110, 24, 83, 4],
 [29, 62, 43, 44, 20, 52, 37, 48, 110, 24, 83, 4, 29, 62, 43, 44, 20, 52, 37, 48],
 [110, 24, 83, 4, 29, 62, 43, 44, 20, 52, 37, 48, 110, 24, 83, 4, 29, 62, 43, 44],
 [20, 52, 37, 48, 110, 24, 83, 4, 29, 62, 43, 44, 20, 52, 37, 48, 110, 24, 83, 4],
 [29, 62, 43, 44, 20, 52, 37, 48, 110, 24, 83, 4, 29, 62, 43, 44, 20, 52, 37, 48],
 [110, 24, 83, 4, 29, 62, 43, 44, 20, 52, 37, 48, 110, 24, 83, 4, 29, 62, 43, 44],
 [20, 52, 37, 48, 110, 24, 83, 4, 29, 62, 43, 44, 20, 52, 37, 48, 110, 24, 83, 4],
 [29, 62, 43, 44, 20, 52, 37, 48, 110, 24, 83, 4, 29, 62, 43, 44, 20, 52, 37, 48],
 [110, 24, 83, 4, 29, 62, 43, 44, 20, 52, 37, 48, 110, 24, 83, 4, 29, 62, 43, 44],
 [20, 52, 37, 48, 110, 24, 83, 4, 29, 62, 43, 44, 20, 52, 37, 48, 110, 24, 83, 4],
 [29, 62, 43, 44, 20, 52, 37, 48, 110, 24, 83, 4, 29, 62, 43, 44, 20, 52, 37, 48],
 [110, 24, 83, 4, 29, 62, 43, 44, 20, 52, 37, 48, 110, 24, 83, 4, 29, 62, 43, 44],
 [20, 52, 37, 48, 110, 24, 83, 4, 29, 62, 43, 44, 20, 52, 37, 48, 110, 24, 83, 4],
 [29, 62, 43, 44, 20, 52, 37, 48, 110, 24, 83, 4, 29, 62, 43, 44, 20, 52, 37, 48],
 [110, 24, 83, 4, 29, 62, 43, 44, 20, 52, 37, 48, 110, 24, 83, 4, 29, 62, 43, 44],
 [20, 52, 37, 48, 110, 24, 83, 4, 29, 62, 43, 44, 20, 52, 37, 48, 110, 24, 83, 4],
 [29, 62, 43, 44, 20, 52, 37, 48, 110, 24, 83, 4, 29, 62, 43, 44, 20, 52, 37, 48],
 [110, 24, 83, 4, 29, 62, 43, 44, 20, 52, 37, 48, 110, 24, 83, 4, 29, 62, 43, 44],
 [20, 52, 37, 48, 110, 24, 83, 4, 29, 62, 43, 44, 20, 52, 37, 48, 110, 24, 83, 4],
 [29, 62, 43, 44, 20, 52, 37, 48, 110, 24, 83, 4, 29, 62, 43, 44, 20, 52, 37, 48],
 [110, 24, 83, 4, 29, 62, 43, 44, 20, 52, 37, 48, 110, 24, 83, 4, 29, 62, 43, 44]]
