40
[[22, 26, 13, 27, 32, 25, 24, 79, 80, 76, 1, 57, 70, 71, 63], 
[25, 29, 79, 85, 71, 90, 12, 60, 84, 43, 44, 54, 52, 68, 97], 
[71, 94, 68, 98, 67, 39, 5, 26, 64, 56, 90, 17, 65, 89, 43], 
[0, 52, 75, 66, 63, -2, 67, 70, 56, 58, 90, 32, 21, 87, 43], 
[48, 93, 56, 80, 1, 39, 24, 53, 64, 56, 13, 70, 12, 45, 93], 
[39, 19, 26, 69, 56, -2, 2, 54, 69, 58, 44, 5, 26, 64, 56], 
[3, 2, 75, 56, 58, -2, 7, 70, 56, 53, 39, 10, 31, 69, 61], 
[7, 70, 10, 45, 98, 44, 24, 58, 69, 61, 44, 53, 31, 58, 61], 
[90, 37, 60, 82, 48, 10, 24, 26, 63, 61, 62, 8, 70, 56, 58], 
[44, 67, 52, 68, 97, 39, 24, 31, 71, 56, 90, 27, 42, 87, 48],
[14, 16, 64, 4, 17, 90, 37, 16, 87, 48, 49, 59, 57, 68, 97], 
[23, 7, 80, 45, 16, 7, 17, 15, 11, 98, 65, 37, 59, 82, 48], 
[13, 75, 12, 45, 93, 39, 53, 26, 53, 61, 49, 59, 52, 73, 97], 
[95, 12, 60, 84, 48, 90, 52, 60, 89, 43, 49, 62, 52, 94, 92], 
[44, 62, 39, 73, 92, 44, 67, 42, 73, 92, 12, 75, 60, 40, 98], 
[39, 19, 31, 64, 46, 8, 47, 10, 40, 98, 39, 53, 31, 58, 56],
[3, 2, 75, 61, 58, 44, 67, 42, 68, 97, 65, 32, 59, 87, 48], 
[12, 72, 10, 45, 59, 7, 12, 10, 11, 98, 90, 37, 16, 87, 48],
[90, 22, 47, 87, 43, 67, 8, 75, 61, 58, 9, 7, 89, 61, 58], 
[49, 62, 52, 89, 97, 39, 19, 31, 66, 61, 44, 59, 57, 73, 97],
[39, 10, 26, 69, 56, 90, 32, 86, 87, 48, 49, 67, 58, 73, 92], 
[3, 7, 59, 64, 53, 44, 19, 53, 69, 2, 67, 8, 70, 56, 53],
[12, 17, 10, 6, 93, 39, 24, 26, 71, 61, 44, 59, 52, 68, 92],
[65, 37, 59, 82, 43, 95, 37, 16, 87, 43, 49, 54, 57, 73, 97],
[49, 54, 57, 73, 92, 44, 19, 26, 71, 56, 90, 27, 47, 82, 43],
[39, 19, 31, 66, 56, 3, 62, 70, 61, 53, 90, 32, 16, 87, 48], 
[3, 62, 70, 56, 53, -2, 62, 75, 61, 53, 95, 37, 21, 82, 43], 
[12, 70, 15, 85, 98, 13, 47, 10, 45, 98, 39, 58, 31, 53, 56],
[95, 32, 21, 82, 43, 95, 32, 21, 87, 43, 44, 59, 52, 73, 92], 
[49, 62, 47, 73, 97, 30, 29, 84, 80, 76, 4, 52, 75, 66, 63]]
[6, 10, 11, 4, 3, 5, 7, 2, 5, 12, 2, 11, 7, 8, 4]
